event_id,event_type,source_location
1,GloveBreach,1
2,MechanicalFriction,4
3,HVACDrift,4
4,GloveBreach,3
5,MechanicalFriction,4
6,HVACDrift,2
7,GloveBreach,2
8,MechanicalFriction,4
9,HVACDrift,4
10,GloveBreach,2
11,MechanicalFriction,4
12,HVACDrift,2
13,GloveBreach,4
14,MechanicalFriction,4
15,HVACDrift,4
16,GloveBreach,3
17,MechanicalFriction,2
18,HVACDrift,2
19,GloveBreach,3
20,MechanicalFriction,1
21,HVACDrift,1
22,GloveBreach,3
23,MechanicalFriction,2
24,HVACDrift,1
25,GloveBreach,2
26,MechanicalFriction,4
27,HVACDrift,3
28,GloveBreach,4
29,MechanicalFriction,4
30,HVACDrift,3
31,GloveBreach,2
32,MechanicalFriction,4
33,HVACDrift,3
34,GloveBreach,1
35,MechanicalFriction,3
36,HVACDrift,3
37,GloveBreach,2
38,MechanicalFriction,1
39,HVACDrift,3
40,GloveBreach,2
41,MechanicalFriction,4
42,HVACDrift,4
43,GloveBreach,3
44,MechanicalFriction,1
45,HVACDrift,4
46,GloveBreach,2
47,MechanicalFriction,1
48,HVACDrift,3
49,GloveBreach,4
50,MechanicalFriction,4
51,HVACDrift,4
52,GloveBreach,1
53,MechanicalFriction,2
54,HVACDrift,3
55,GloveBreach,3
56,MechanicalFriction,2
57,HVACDrift,3
58,GloveBreach,2
59,MechanicalFriction,4
60,HVACDrift,2
61,GloveBreach,2
62,MechanicalFriction,1
63,HVACDrift,4
64,GloveBreach,2
65,MechanicalFriction,3
66,HVACDrift,1
67,GloveBreach,3
68,MechanicalFriction,1
69,HVACDrift,2
70,GloveBreach,3
71,MechanicalFriction,3
72,HVACDrift,2
73,GloveBreach,3
74,MechanicalFriction,3
75,HVACDrift,4
76,GloveBreach,3
77,MechanicalFriction,1
78,HVACDrift,3
79,GloveBreach,2
80,MechanicalFriction,1
81,HVACDrift,4
82,GloveBreach,1
83,MechanicalFriction,2
84,HVACDrift,4
85,GloveBreach,2
86,MechanicalFriction,3
87,HVACDrift,2
88,GloveBreach,1
89,MechanicalFriction,4
90,HVACDrift,4
91,GloveBreach,1
92,MechanicalFriction,3
93,HVACDrift,3
94,GloveBreach,4
95,MechanicalFriction,4
96,HVACDrift,2
97,GloveBreach,4
98,MechanicalFriction,1
99,HVACDrift,2
100,GloveBreach,4
101,MechanicalFriction,3
102,HVACDrift,1
103,GloveBreach,1
104,MechanicalFriction,3
105,HVACDrift,1
106,GloveBreach,4
107,MechanicalFriction,1
108,HVACDrift,3
109,GloveBreach,3
110,MechanicalFriction,1
111,HVACDrift,2
112,GloveBreach,1
113,MechanicalFriction,3
114,HVACDrift,1
115,GloveBreach,3
116,MechanicalFriction,3
117,HVACDrift,1
118,GloveBreach,4
119,MechanicalFriction,2
120,HVACDrift,3
121,GloveBreach,1
122,MechanicalFriction,2
123,HVACDrift,2
124,GloveBreach,4
125,MechanicalFriction,4
126,HVACDrift,2
127,GloveBreach,1
128,MechanicalFriction,1
129,HVACDrift,4
130,GloveBreach,4
131,MechanicalFriction,1
132,HVACDrift,3
133,GloveBreach,2
134,MechanicalFriction,4
135,HVACDrift,1
136,GloveBreach,4
137,MechanicalFriction,1
138,HVACDrift,4
139,GloveBreach,3
140,MechanicalFriction,4
141,HVACDrift,1
142,GloveBreach,1
143,MechanicalFriction,3
144,HVACDrift,2
145,GloveBreach,1
146,MechanicalFriction,3
147,HVACDrift,1
148,GloveBreach,4
149,MechanicalFriction,1
150,HVACDrift,1
151,GloveBreach,4
152,MechanicalFriction,1
153,HVACDrift,1
154,GloveBreach,3
155,MechanicalFriction,2
156,HVACDrift,1
157,GloveBreach,4
158,MechanicalFriction,4
159,HVACDrift,3
160,GloveBreach,4
161,MechanicalFriction,1
162,HVACDrift,3
163,GloveBreach,3
164,MechanicalFriction,2
165,HVACDrift,4
166,GloveBreach,4
167,MechanicalFriction,2
168,HVACDrift,4
169,GloveBreach,3
170,MechanicalFriction,4
171,HVACDrift,4
172,GloveBreach,1
173,MechanicalFriction,4
174,HVACDrift,3
175,GloveBreach,3
176,MechanicalFriction,4
177,HVACDrift,3
178,GloveBreach,4
179,MechanicalFriction,2
180,HVACDrift,4
